,talk_name,views
0,Tim Urban Inside the mind of a master procrastinator,62.0
1,Tom Thum The orchestra in my mouth,35.0
2,Apollo Robbins The art of misdirection,31.0
3,Elizabeth Gilbert Your elusive creative genius,20.0
4,"Maz Jobrani A Saudi, an Indian and an Iranian walk into a Qatari bar ...",19.0
5,Keith Barry Brain magic,18.0
6,Richard St. John 8 secrets of success,16.0
7,Benjamin Zander The transformative power of classical music,15.0
8,BLACK My journey to yo-yo mastery,15.0
9,Sarah Kay If I should have a daughter ...,15.0
10,Thomas Suarez A 12-year-old app developer,13.0
11,Reggie Watts Beats that defy boxes,12.0
12,Anita Collins How playing an instrument benefits your brain,12.0
13,Amanda Palmer The art of asking,12.0
14,Adam Driver My journey from Marine to actor,12.0
15,Maysoon Zayid I got 99 problems ... palsy is just one,11.0
16,"Shah Rukh Khan Thoughts on humanity, fame and love",11.0
17,"Arthur Benjamin A performance of ""Mathemagic""",9.9
18,Mike Rowe Learning from dirty jobs,9.8
19,Derek Sivers How to start a movement,9.8
20,Sleepy Man Banjo Boys Bluegrass virtuosity from ... New Jersey?,9.0
21,Malcolm Gladwell The unheard story of David and Goliath,8.4
22,Arthur Benjamin The magic of Fibonacci numbers,8.3
23,Michael Shermer Why people believe weird things,8.0
24,Terry Moore How to tie your shoes,7.9
25,Jane McGonigal The game that can give you 10 extra years of life,7.6
26,Ze Frank Nerdcore comedy,7.3
27,"Tom Wujec Build a tower, build a team",7.2
28,Maz Jobrani Did you hear the one about the Iranian-American?,7.1
29,Johnny Lee Free or cheap Wii Remote hacks,7.0
30,Evelyn Glennie How to truly listen,6.5
31,Marco Tempest The magic of truth and lies (and iPods),6.2
32,Manoush Zomorodi How boredom can lead to your most brilliant ideas,6.2
33,Jane McGonigal Gaming can make a better world,6.2
34,Lisa Bu How books can open your mind,6.2
35,Lennart Green Close-up card magic with a twist,6.0
